file_id,category,prompt,stage2_clip_score,stage1_clip_score,eval_prompt
n02691156_10151-8,airplane,A photo of a airplane,29.4921875,28.2470703125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10153-4,airplane,A photo of a airplane,23.98681640625,28.1494140625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10381-6,airplane,A photo of a airplane,28.0029296875,28.0517578125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10433-2,airplane,A photo of a airplane,29.8583984375,29.7119140625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10433-8,airplane,A photo of a airplane,29.345703125,29.1015625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10504-1,airplane,A photo of a airplane,28.173828125,27.490234375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10504-4,airplane,A photo of a airplane,29.8095703125,28.466796875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10535-1,airplane,A photo of a airplane,29.6142578125,29.638671875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10535-2,airplane,A photo of a airplane,24.70703125,24.8046875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10578-3,airplane,A photo of a airplane,22.61962890625,22.55859375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10603-6,airplane,A photo of a airplane,26.904296875,26.07421875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10603-7,airplane,A photo of a airplane,31.005859375,29.931640625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10622-1,airplane,A photo of a airplane,29.3701171875,28.4912109375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10622-4,airplane,A photo of a airplane,28.4423828125,28.564453125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10718-2,airplane,A photo of a airplane,30.37109375,31.15234375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_10718-6,airplane,A photo of a airplane,28.6865234375,29.78515625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
